language_code	language_name
aa	ʿAfár af
af	Afrikaans
am	ኣማርኛ
ar	العربية
as	অসমীয়া
ast	Asturianu
ay	Aymar aru
az	Azərbaycanca
be	Беларуская мова
bg	български
bn	বাংলা
bo	བོད་སྐད་
br	Brezhoneg
bs	Bosanski
ca	Català
co	Corsu
cs	Čeština
cs_CZ	Čeština (Česká Republika)
cy	Welsh
cy_GB	Welsh (Great Britain)
da	Dansk
da_DK	Dansk (Danmark)
de	Deutsch
de_AT	Deutsch (Österreich)
de_CH	Deutsch (Schweiz)
de_DE	Deutsch (Deutschland)
dz	རྫོང་ཁ
el	ελληνικά
en	English
en_AU	English (Australia)
en_CA	English (Canada)
en_GB	English (Great Britain)
en_US	English (United States)
en_ZA	English (South Africa)
eo	Esperanto
es	Español
et	Eesti keel
eu	Euskara
fa	فارسى
fi	Suomi
fo	Føroyskt
fr	Français
fr_CA	Français (Canada)
fr_CH	Français (Suisse)
fr_FR	Français (France)
fr_LU	Français (Luxembourg)
fy	Frysk
ga	Gaeilge
gd	Gàidhlig
gl	Galego
gn	Avañe'ẽ
gu	ગુજરાતી
gv	Gaelg
ha	حَوْسَ
he	עברית
hi	हिन्दी
hr	Hrvatski
hu	Magyar
hy	Հայերեն
ia	Interlingua
id	Bahasa Indonesia
is	Íslenska
it	Italiano
iu	ᐃᓄᒃᑎᑐᑦ/inuktitut
ja	日本語
ka	ქართული
kk	Қазақша
kl	Kalaallisut
km	ភាសាខ្មែរ
kn	ಕನ್ನಡ
ko	한국어
krl	Karjalan kieli
ku	Kurdî
kw	Kernowek
ky	кыргызча
la	Latina
lo	ລາວ
lt	Lietuvių
lv	Latviešu
jbo	La .lojban.
mg	Malagasy
mi	Māori
mk	Македонски
ml	മലയാളം
mn	Монгол
mn_MN	Монгол
mr	मराठी
ms	Bahasa Melayu
mt	Malti
my	မြန်မာဘာသာ
nb	Norsk Bokmål
nl	Nederlands
nn	Norsk Nynorsk
no	Norsk Bokmål
oc	Occitan
om	Oromoo
or	ଓଡ଼ିଆ
os	ирон ӕвзаг
pa	ਪੰਜਾਬੀ
pl	Polski
pms	Piemontèis
ps	پښتو
pt	Português
pt_BR	Português Brasileiro
qu	Runa Simi
rm	Rumantsch
ro	Română
ru	Русский
rue	Руснацька
rw	Kinyarwanda
sc	Sardu
sco	Scots
se	Sámegiella
sk	Slovenčina
sl	Slovenščina
sq	Shqip
sr	Српски
sv	Svenska
sw	Kiswahili
szl	Ślůnsko
ta	தமிழ்
th	ไทย
tr	Türkçe
tt	Татарча
uk	Українська
ur	اردو
uz	Oʻzbek tili
vi	Tiếng Việt
yi	ייִדיש
zh	中文
zh_CN	中文（简体）
zh_HK	中文（香港）
zh_TW	中文（繁體）
